experiment,mae,risk_f1,warn_f1,warn_pr_auc,high_risk_recall_all
exp_base_drf,3.2466132640838623,0.4651533992334313,0.7217346742681443,0.8139640573909015,0.695013920526449
exp_weighted_drf,3.477346181869507,0.4610203877324242,0.6892,0.829325696636753,0.6130937315447565
exp_weighted_focal_drf,3.282244920730591,0.4411207313721207,0.7081519821197506,0.8374003000087673,0.7209989032312495
