experiment,model,mae,rmse,r2,risk_f1,warn_f1,warn_roc_auc,warn_pr_auc,high_risk_recall_all,spring_warn_f1,spring_high_risk_recall,highrisk_subset_warn_f1
exp_base_drf,dustriskformer,3.2466132640838623,4.5997490882873535,0.5273844599723816,0.46515339923343135,0.7217346742681443,0.8483201983231747,0.8139640573909015,0.695013920526449,,,0.0
exp_weighted_drf,dustriskformer,3.477346181869507,4.968029975891113,0.44867444038391113,0.46102038773242426,0.6892,0.8600704661545268,0.829325696636753,0.6130937315447565,,,0.0
exp_weighted_focal_drf,dustriskformer,3.282244920730591,4.682606220245361,0.5102042555809021,0.4411207313721207,0.7081519821197506,0.8716971309268297,0.8374003000087673,0.7209989032312495,,,0.0
exp_business_lite_attn_tcn_lstm,attn_tcn_lstm,3.493466854095459,5.173198223114014,0.4021971821784973,0.47146309829210886,0.7269205029762953,0.8492793725198502,0.8115611255630847,0.6886020416772125,,,0.0
exp_weighted_focal_drf_spring_eval,dustriskformer,4.646646022796631,6.601012706756592,0.21900296211242676,0.3172431433644676,0.9074405638782495,0.8845708355858911,0.9580436237064434,0.8308793307705327,0.9074405638782495,0.8308793307705327,0.0
