experiment,model,mae,rmse,r2,risk_f1,warn_f1,warn_roc_auc,warn_pr_auc,all_high_risk_recall,spring_n,spring_warn_f1,spring_high_risk_recall,highrisk_n,highrisk_warn_f1
exp_weighted_focal_drf_spring_holdout_strict,dustriskformer,5.365048408508301,7.745532989501953,-0.07530295848846436,0.0364598665916406,0.876728879844838,0.7655552850958376,0.9152208027369475,0.1688063634825077,52992.0,0.876728879844838,0.1688063634825077,41361.0,0.0
exp_business_lite_attn_tcn_lstm,attn_tcn_lstm,3.3290774822235107,4.895756244659424,0.46459877490997314,0.5381980226324006,0.7420230121930277,0.866678242483093,0.8308022023815842,0.736016198430777,0.0,,,11853.0,0.0
exp_base_drf,dustriskformer,3.2466132640838623,4.5997490882873535,0.5273844599723816,0.46515339923343135,0.7217346742681443,0.8483201983231747,0.8139640573909015,0.695013920526449,0.0,,,11853.0,0.0
exp_weighted_focal_drf,dustriskformer,3.2741482257843018,4.740510940551758,0.498015820980072,0.3949954393400123,0.5826665163980616,0.8449359027731711,0.8096541540363595,0.8397873955960516,0.0,,,11853.0,0.0
